Address,Old_Address,GeoAddress,Latitude,Longitude
Time  Square,"7 Time Square Tower, New York","Time Square, Central Core, Avenue District, Edmonton, Edmonton (city), Alberta, Canada",53.55021245,-113.495030099947
Smith  Street,"1 Smith Street 4th Floor, Brooklyn","Smith Store, Buckingham County, Virginia, United States",37.6829222,-78.5211187
Pratt  St,"1 E Pratt St Ste 900, Baltimore","Pratt Street, Newnan, Coweta County, Georgia, 30263, United States",33.375014,-84.814933
Park  Ave,"3 Park Ave Fl 31st, New York","Park Avenue, East Harlem, Manhattan Community Board 11, Manhattan, New York County, New York, 10037, United States",40.7868389,-73.9521749
EDUCATION  DRIVE,"ONE EDUCATION DRIVE - CRIMINAL JUSTI, GARDEN CITY","Education Drive, Ashland, Grafton County, New Hampshire, 03217, United States",43.696674,-71.6341499
Crosby  St,"5 Crosby St Ste 2A, New York","Crosby Street, California, Littleover, Derby, East Midlands, England, DE22 3NU, United Kingdom",52.9165822,-1.4958032
Charlton  Street,"9 Charlton Street Apt. 4, New York","Charlton Street, Southbridge, Worcester County, Massachusetts, 01550, United States",42.096197,-72.017274
Baruch  Way,"1 Bernard Baruch Way  Box D-0901st, New York","Baruch Way, Nassau, New Providence, The Bahamas",25.0435103,-77.2658147
99 Hudson  St,"99 Hudson St 8th Fl, New York","99, Hudson Street, Hudson, Decatur Township, Clearfield County, Pennsylvania, 16866, United States",40.8838305293931,-78.242377346675
99 Bank  Street,"99 Bank Street 5Q, New York","99, Bank Street, Marietta, Lancaster County, Pennsylvania, 17547, United States",40.061428,-76.542101
"98 Cuttermill  Rd, ","98 Cuttermill Rd, GREAT NCK PLZ","98, Cuttermill Road, Great Neck Plaza, North Hempstead, Nassau County, New York, 11021, United States",40.78338285,-73.7327961710479
"98 Cuttermill  Rd, ","98 Cuttermill Rd, GREAT NCK PLZ","98, Cuttermill Road, Great Neck Plaza, North Hempstead, Nassau County, New York, 11021, United States",40.78338285,-73.7327961710479
"98 Cuttermill  Rd, ","98 Cuttermill Rd, GREAT NCK PLZ","98, Cuttermill Road, Great Neck Plaza, North Hempstead, Nassau County, New York, 11021, United States",40.78338285,-73.7327961710479
"98 Cuttermill  Rd, ","98 Cuttermill Rd, GREAT NCK PLZ","98, Cuttermill Road, Great Neck Plaza, North Hempstead, Nassau County, New York, 11021, United States",40.78338285,-73.7327961710479
"98 Cuttermill  Rd, ","98 Cuttermill Rd, GREAT NCK PLZ","98, Cuttermill Road, Great Neck Plaza, North Hempstead, Nassau County, New York, 11021, United States",40.78338285,-73.7327961710479
"97-24 133rd  Avenue, ","97-24 133rd Avenue, Jamaica","97-24, 133rd Avenue, Ozone Park, Queens, Queens County, New York, 11417, United States",40.6762655,-73.83907625
"97-17 69th  Road, ","97-17 69th Road, Rego Park","69th Road, Queens, Queens County, New York, 11367, United States",40.7279838,-73.8327682
"97-14 Atlantic  Ave, ","97-14 Atlantic Ave, Ozone Park","97, Atlantic Avenue, St. Augustine, St. Johns County, Florida, 32084, United States",29.919894125,-81.3165830357143
"9620   Ave, ","9620 Atlantic  Ave, Ozone Park","Lichtensteig, Sankt Gallen, 9620, Schweiz/Suisse/Svizzera/Svizra",47.32424225,9.08794773947065
"93-02 Sutphin  Boulevard, ","93-02 Sutphin Boulevard, Briarwood","Sutphin Boulevard, Hillside Avenue, Queens, Queens County, New York, 11427, United States",40.70546,-73.810708
"929 64  St, ","929 NW 64 St, Seattle","Straße, Lieberhausen, Straße, Piene, Gummersbach, Oberbergischer Kreis, Nordrhein-Westfalen, 51647, Deutschland",51.0736891,7.7121433
925 Garfield  St,"925 N Garfield St 335, Arlington","925, Garfield Street, Lombard, DuPage County, Illinois, 60148, United States",41.9104914362791,-88.0138308893381
"92-25 Beach  Boulevard, ","92-25 Rockaway Beach Boulevard, Far Rockaway","92, Beach Boulevard, Jacksonville Beach, Duval County, Florida, 32250, United States",30.2868933208352,-81.4090673389626
92 Horatio  Street,"92 Horatio Street Apt.5G, New York","92, Horatio Street, West Village, Manhattan, New York County, New York, 10014, United States",40.7386796,-74.007841
"919 Third  Avenue, ","919 Third Avenue, New York, NY, USA, New York","919 Third Avenue, 919, 3rd Avenue, Midtown East, Manhattan, New York County, New York, 10022, United States",40.75889165,-73.9674682171493
911 Manhattan  Avenue,"911 Manhattan Avenue #2A, Brooklyn","911, Manhattan Avenue, Brooklyn, Kings County, New York, 11222, United States",40.7305368,-73.954612186394
